group,product,vcoord,line,file,dims,n_vars,vars,time_start,time_end,n_time,title,time_coverage
st,mean_annual_cycle,sigma,80,st_mean_annual_cycle_sigma_80.nc,time=365; potential_density=21; distance=74; depth=21,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 80 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean_annual_cycle,sigma,90,st_mean_annual_cycle_sigma_90.nc,time=365; potential_density=21; distance=107; depth=21,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Line 90 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean_annual_cycle,sigma,al,st_mean_annual_cycle_sigma_al.nc,time=365; potential_density=21; distance=45; depth=21,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2007-01-10,2008-01-09,365.0,Annual Cycle for CUGN Alongshore Line on Potential Density,2019-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,depth,56,st_mean_depth_56.nc,depth=50; distance=61,11,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 56,2020-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,depth,66,st_mean_depth_66.nc,depth=50; distance=81,11,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 66,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,depth,80,st_mean_depth_80.nc,depth=50; distance=74,11,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 80,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,depth,90,st_mean_depth_90.nc,depth=50; distance=107,11,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 90,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,depth,al,st_mean_depth_al.nc,depth=50; distance=45,11,temperature; salinity; chlorophyll_a; sigma_t; potential_density; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Alongshore Line,2019-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,sigma,56,st_mean_sigma_56.nc,potential_density=21; distance=61,9,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 56 on Potential Density,2020-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,sigma,66,st_mean_sigma_66.nc,potential_density=21; distance=81,9,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 66 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
